,Year,NAME,House_Price,Unit_Price,Flat_rent,House_rent,House_rate,Unit_rate
406,2009,LAKE WENDOUREE,404000.0,290000.0,,,,
407,2009,LAKES ENTRANCE,260000.0,270000.0,,,,
408,2009,LALOR,335000.0,282500.0,195.0,252.0,25.564713064713064,27.859960552268245
409,2009,LANCEFIELD,260500.0,,,,,
410,2009,LANG LANG,254000.0,,,,,
411,2009,LANGWARRIN,332000.0,275000.0,,,,
412,2009,LARA,280000.0,275500.0,125.0,224.0,24.03846153846154,42.38461538461539
413,2009,LARA LAKE,303000.0,225000.0,,,,
414,2009,LAUNCHING PLACE,284000.0,,,,,
415,2009,LAVERTON,310000.0,262000.0,,,,
416,2009,LAVERTON SOUTH,355000.0,296000.0,,,,
417,2009,LEARMONTH,217000.0,,,,,
418,2009,LENEVA,324000.0,,,,,
419,2009,LEONGATHA,253000.0,210000.0,,,,
420,2009,LEOPOLD,309000.0,239000.0,,,,
421,2009,LILYDALE,390000.0,312500.0,188.0,263.0,28.517110266159698,31.96603927986907
422,2009,LINTON,175000.0,,,,,
423,2009,LISMORE,110000.0,,,,,
424,2009,LOCH SPORT,151000.0,,,,,
425,2009,LOCKINGTON,124000.0,,,,,
426,2009,LONG GULLY,180000.0,188000.0,,,,
427,2009,LONGWARRY,246500.0,160500.0,,,,
428,2009,LORNE,755000.0,550000.0,,,,
429,2009,LOVELY BANKS,353500.0,,,,,
430,2009,LOWER PLENTY,590000.0,361500.0,,,,
431,2009,LUCAS,0.0,,,,,
432,2009,LUCKNOW,227500.0,,,,,
433,2009,LYNBROOK,380000.0,342000.0,,,,
434,2009,LYNDHURST,357000.0,,,,,
435,2009,LYSTERFIELD,496000.0,,,,,
436,2009,LYSTERFIELD SOUTH,821000.0,,,,,
437,2009,MACEDON,385500.0,,,,,
438,2009,MACLEOD,491000.0,413000.0,,,,
439,2009,MACS COVE,167000.0,,,,,
440,2009,MADDINGLEY,258000.0,245000.0,,,,
